event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-16,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,North Kordofan,"On 16 May (date is not certain), residents of El Guba district in El Obeid, Kordofan, demonstrated against the interruption of water services. They closed the road linking the district to the grand market. Government officials promised to solve the water crisis.",0,2018-Q2
2018-03-29,2018,Riots,Mob violence,NCP: National Congress Party,Rioters (Sudan),Sudan,White Nile,"On 28 and 29 March, students of El Imam Mahdi University in El Gezira Aba, White Nile, clashed. The fighting started, when militant student members of the National Congress Party (NCP) attacked the students listening to a speech of student Amir Daoud on the poor conditions in student dorms. One student was injured and three others were detained.",0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,River Nile,Protests in Atbara over increased consumer prices following the implementation of new budget measures.,0,2018-Q1
2018-02-13,2018,Violence against civilians,Attack,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,South Darfur,"Militiamen beat, stabbed and robbed an unknown number of displaced people who had returned to Marla in Bielel locality, South Darfur, on 13/02, leaving five seriously wounded. In total, 600 displaced people had left Kalma, Dereig and El Salam camps in South Darfur to return to Marla in Bielel locality. 14 militiamen were later arrested in connection with the attack.",0,2018-Q1
2018-08-26,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,East Darfur,"On or before August 26th, herders attacked Gubba village in Eastern Jebel Marrah (East Darfur), killing four civilians, wounding an unspecified number, and displacing around 500 individuals. The herders (some of whom were riding in vehicles, others on horse or camelback) then proceeded to loot money, property and animals.",4,2018-Q3
2018-01-06,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Blue Nile,Protests continued in Ed Damazin over increased consumer prices.,0,2018-Q1
2018-06-16,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",0,2018-Q2
2018-06-16,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",0,2018-Q2
2018-01-06,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Sennar,Protests continued for a second day in Sennar over increased consumer prices following the implementation of new budget measures.,0,2018-Q1
2018-01-06,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,River Nile,Protests continued for a second day in Atbara over increased consumer prices following the implementation of new budget measures.,0,2018-Q1
2018-06-18,2018,Violence against civilians,Attack,Kenana Ethnic Militia (Sudan),Civilians (Sudan),Sudan,South Kordofan,"On June 18-19, and following conflict the previous week between members of the Kenana tribe in villages in Abu Jubaiha locality (South Kordofan), two members of the Kenana ethnic group were killed. One killing took place in the Abu Jubai locality, and the other in Rashad locality (the source suggests the Abu Jubai killing took place on the 18th, and the Rashad killing on the 19th, although this is not directly specified).",1,2018-Q2
2018-02-08,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,South Darfur,"Armed herders raided a farmer's land in Shataya locality in South Darfur on 08/02, shooting him dead and severely injuring two of his relatives.",1,2018-Q1
2018-04-08,2018,Strategic developments,Looting/property destruction,Unidentified Communal Militia (Sudan),,Sudan,Central Darfur,"Property Destruction: On 8 April, armed herders burned charcoal sacks and stole donkeys at a charcoal factory in El Aradeib El Ashara, eastern Jebel Marra. They opened fire into the air before they set the charcoal sacks in fire. No fatalities or injuries.",0,2018-Q2
2018-01-10,2018,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,North Darfur,"A UXO explosion near El Mawashi market in El Fasher, North Darfur, left a child killed.",1,2018-Q1
2018-02-27,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,"Unidentified gunmen opened fire on people in the area of Libei in Tawila locality, North Darfur, on 27/02, leaving three dead, two wounded and stealing 300 heads of cattle.",3,2018-Q1
2018-02-06,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,North Kordofan,El Obeid witnessed a peaceful demonstration carried out by university students against the rise of prices.,0,2018-Q1
2018-09-17,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,17 September. Herders reportedly brought their animals to graze on a farm in Arashu. When two farmers objected to this the herders beat them with sticks. The coordinates are approximate (based on reports that Arashu is 40 KM south of Tabit).,0,2018-Q3
