da,a,tipo,periodo,peso,categoria,titolo,fonte
RUS,UKR,cyber,2022-Q1,,Data theft & Doxing,Pro-Russian hacktivist group XakNet targeted Ukrainian organizations via DDoS and other methods in March 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse,Ukraine telecom firm's IT infrastructure attacked on 28 March 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Hijacking without Misuse,Russian state-sponsored hacker group Strontium compromised the government network of Ukrainian city Vinnytsia on 4th March 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse,Viasat Hack: Russian Military Intelligence disrupted Ukrainian satellite broadband services in February 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse,CaddyWiper: Russian state-sponsored hacker group attacked a ukrainian bank and other targets on the 14th of March 2022,eurepoc
RUS,UKR,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Russian APT Gamaredon targeted Ukrainian organizations with infostealer in cyber operations,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse,Russian APT Cadet Blizzard targeted Ukraine with WhisperGate wiper attack on 14 January 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption,Belarus-linked pro-Russian APT UNC1151/Ghostwriter targeted Ukrainian state websites in January 2022 with DDoS & defacement attacks,eurepoc
RUS,UKR,cyber,2021-Q2,,Hijacking without Misuse,Russian spear-phishing campaign against Ukraine,eurepoc
RUS,UKR,cyber,2021-Q1,,Disruption,Russian threat actors attack Ukrainian government websites,eurepoc
RUS,UKR,cyber,2019-Q4,,Data theft,Burisma Hack,eurepoc
RUS,UKR,cyber,2019-Q3,,Data theft;Hijacking with Misuse,Gamaredon,eurepoc
RUS,UKR,cyber,2019-Q1,,Disruption,DDOS-Attacks on Ukrainian Electoral commission,eurepoc
RUS,UKR,cyber,2018-Q4,,Data theft;Hijacking with Misuse,Carbanak  vs. Ukraine during Kerch Crisis,eurepoc
RUS,UKR,cyber,2018-Q1,,Hijacking with Misuse,Pterodo Attack by Gamaredon,eurepoc
RUS,UKR,cyber,2014-Q4,,,APT 28,cfr
RUS,UKR,cyber,,,Espionage,UAC-0188,cfr
RUS,UKR,cyber,2018-Q2,,Sabotage,Alleged Russian compromise of networking equipment,cfr
RUS,UKR,cyber,2017-Q3,,Data destruction,NotPetya,cfr
RUS,UKR,cyber,2014-Q3,,Espionage,Crouching Yeti,cfr
RUS,UKR,cyber,,,Espionage,FlyingYeti,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian citizens who were concerned about facing loss of housing in Ukraine,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of Ukrainian telecommunications operator Kyivstar,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Polish government organizations with Follina vulnerability,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of Ukrainian power grid,cfr
RUS,UKR,cyber,,,Espionage,"Targeting of French think tanks, government agencies, universities, and businesses",cfr
RUS,UKR,cyber,,,Sabotage,Targeting of Ukrainian telecommunications providers,cfr
RUS,UKR,cyber,,,Espionage,Targeting of foreign embassies in Kyiv,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian energy facility,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian armed forces planning operations system with Infamous Chisel,cfr
RUS,UKR,cyber,,,Espionage,Targeting of diplomatic agencies in Eastern Europe,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian defense forces with Capibar and Kazuar spyware,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government agencies in phishing attack,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian email servers,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian civil-society groups,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of the Ukrainian public sector,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government bodies,cfr
RUS,UKR,cyber,,,Espionage,Targeting of European diplomatic entities,cfr
RUS,UKR,cyber,,,Defacement,Targeting of Ukrainian government websites using two-year-old backdoors,cfr
RUS,UKR,cyber,,,Data destruction,Nodaria,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government authorities,cfr
RUS,UKR,cyber,,,Data destruction,"Targeting of Ukrainian national news agency, Ukrinform",cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian organizations with old cybercrime malware,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of Ukrainian local government organization,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Polish and Ukrainian transportation companies,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian networks via fake telecommunications firms,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government agencies in espionage campaign,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government agencies,cfr
RUS,UKR,cyber,,,Espionage,Targeting of the Ukrainian Azov Regiment,cfr
RUS,UKR,cyber,,,Espionage,Targeting of media stations such as newspapers and radio stations in Ukraine,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian organizations in phishing campaign,cfr
RUS,UKR,cyber,,,Espionage,"Targeting of Ukrainian users of Chrome, Edge, and Firefox browsers",cfr
RUS,UKR,cyber,,,Sabotage,"Targeting of government network in Vinnytsia, Ukraine",cfr
RUS,UKR,cyber,,,Sabotage,Targeting of major Ukrainian broadcasting company,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of Ukrainian agricultural firm,cfr
RUS,UKR,cyber,,,Sabotage,Targeting of Ukrainian power stations,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian organizations,cfr
