event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2023-02-17,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 17 February 2023 (as reported), construction workers gathered to demonstrate in Zhuhai city, Guangdong (coded to Xiangzhou) to demand wage arrears.",0,2023-Q1
2023-02-17,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 17 February 2023 (as reported), construction workers gathered to demonstrate in Huizhou city, Guangdong (coded to Huicheng) to demand wage arrears.",0,2023-Q1
2023-02-17,2023,Protests,Peaceful protest,Protesters (China),,China,Sichuan,"Around 17 February 2023 (as reported), construction workers gathered to demonstrate in Suining city, Sichuan (coded to Chuanshan) to demand wage arrears.",0,2023-Q1
2023-02-13,2023,Protests,Peaceful protest,Protesters (China),,China,Shaanxi,"Around 13 February 2023 (as reported), around 10 construction workers filed petitions together to the local labor department in Xian city, Shaanxi (coded to Weiyang) to demand wage arrears.",0,2023-Q1
2023-02-16,2023,Protests,Peaceful protest,Protesters (China),,China,Hunan,"Around 16 February 2023 (as reported), factory workers gathered to demonstrate and went on a strike in Qiyang county (Yongzhou, Hunan) to demand wage arrears.",0,2023-Q1
2023-02-16,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 16 February 2023 (as reported), around 200 factory workers gathered to demonstrate in Houjie town (Dongwan, Guangdong) to demand wage arrears.",0,2023-Q1
2023-02-16,2023,Protests,Peaceful protest,Protesters (China),,China,Hubei,"Around 16 February 2023 (as reported), construction workers gathered to demonstrate in Wuhan city, Hubei (coded to Jiang'an) to demand wage arrears.",0,2023-Q1
2023-02-16,2023,Protests,Peaceful protest,Protesters (China),,China,Sichuan,"Around 16 February 2023 (as reported), employees of an education center filed petitions to the local labor department together in Chengdu city, Sichuan (coded to Wuhou) to demand wage arrears.",0,2023-Q1
2023-02-15,2023,Protests,Peaceful protest,Protesters (China),,China,Jiangsu,"Around 15 February 2023 (as reported), construction workers gathered to demonstrate in Nanjing city, Jiangsu (coded to Xuanwu) to demand wage arrears.",0,2023-Q1
2023-02-14,2023,Protests,Peaceful protest,Protesters (China),,China,Hunan,"Around 14 February 2023 (as reported), construction workers gathered to demonstrate with placards in Changsha city, Hunan (coded to Yuelu) to demand wage arrears.",0,2023-Q1
2023-02-14,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 14 February 2023 (as reported), construction workers gathered to demonstrate in Shenzhen city, Guangdong (coded to Shenzhen) to demand wage arrears.",0,2023-Q1
2023-02-13,2023,Protests,Peaceful protest,Protesters (China),,China,Chongqing,"Around 13 February 2023 (as reported), construction workers gathered to demonstrate in Chongqing city (coded to Chongqing) to demand wage arrears.",0,2023-Q1
2023-02-13,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 13 February 2023 (as reported), construction workers gathered to demonstrate in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-12,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 12 February 2023 (as reported), construction workers gathered to demonstrate in Guangzhou city, Guangdong (coded to Guangzhou) to demand wage arrears.",0,2023-Q1
2023-02-11,2023,Protests,Peaceful protest,Protesters (China),,China,Hubei,"Around 11 February 2023 (as reported), construction workers held a banner and chanted slogans in Wuhan city, Hubei (coded to Jiang'an) to demand wage arrears.",0,2023-Q1
2023-02-10,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 10 February 2023 (as reported), factory workers gathered to demonstrate in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-10,2023,Protests,Peaceful protest,Protesters (China),,China,Henan,"Around 10 February 2023 (as reported), construction workers gathered to demonstrate in Linying county (Luohe, Henan) to demand wage arrears.",0,2023-Q1
2023-02-10,2023,Protests,Peaceful protest,Protesters (China),,China,Liaoning,"Around 10 February 2023 (as reported), employees of a supermarket gathered to demonstrate in Shenyang city, Liaoning (coded to Shenhe) to demand severance pay.",0,2023-Q1
2023-02-10,2023,Protests,Peaceful protest,Protesters (China),,China,Sichuan,"Around 10 February 2023 (as reported), factory workers gathered to demonstrate in Chengdu city, Sichuan (coded to Wuhou) to demand wage arrears.",0,2023-Q1
2023-02-10,2023,Protests,Peaceful protest,Protesters (China),,China,Shanxi,"Around 10 February 2023 (as reported), construction workers held a banner in Hongtong county (Linfen, Shanxi) to demand wage arrears.",0,2023-Q1
2023-02-08,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 8 February 2023 (as reported), factory workers gathered to demonstrate in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-08,2023,Protests,Peaceful protest,Protesters (China),,China,Shandong,"Around 8 February 2023 (as reported), construction workers held a banner in Zibo city, Shandong (coded to Zhangdian) to demand wage arrears.",0,2023-Q1
2023-02-07,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 7 February 2023 (as reported), factory workers gathered to demonstrate in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-07,2023,Protests,Peaceful protest,Protesters (China),,China,Sichuan,"Around 7 February 2023 (as reported), construction workers gathered to demonstrate in Chengdu city, Sichuan (coded to Wuhou) to demand wage arrears.",0,2023-Q1
2023-02-07,2023,Protests,Peaceful protest,Protesters (China),,China,Hebei,"Around 7 February 2023 (as reported), construction workers held a banner in Yutian county (Tangshan, Hebei) to demand wage arrears.",0,2023-Q1
2023-02-07,2023,Protests,Peaceful protest,Protesters (China),,China,Zhejiang,"Around 7 February 2023 (as reported), factory workers gathered to demonstrate in Yongkang city (Jinhua, Zhejiang) to demand wage arrears.",0,2023-Q1
2023-02-07,2023,Protests,Peaceful protest,Protesters (China),,China,Shandong,"Around 7 February 2023 (as reported), construction workers gathered to demonstrate in Jinan city, Shandong (coded to Lixia) to demand wage arrears.",0,2023-Q1
2023-02-06,2023,Protests,Peaceful protest,Protesters (China),,China,Jiangsu,"Around 6 February 2023 (as reported), construction workers gathered to demonstrate in Shuyang county (Suqian, Jiangsu) to demand wage arrears.",0,2023-Q1
2023-02-01,2023,Protests,Peaceful protest,Protesters (China),,China,Hebei,"Around 1 February 2023 (as reported), cleaners gathered to demonstrate and went on a strike in Bazhou county (Langfang, Hebei) to demand wage arrears.",0,2023-Q1
