event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-02-17,2019,Strategic developments,Change to group/activity,Hamas Movement,,Israel,HaDarom,"Security measures: On Feb 17 2019, Hamas took control of the Palestinian side of the Kerem Shalom crossing in Gaza and expelled PA employees from it. As of now, goods continue to pass through the crossing as normal.",0,2019-Q1
2018-06-16,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary kites and balloons launched from Gaza on June 16 sparked over 20 fires in Israel. Locations included Erez, Kissufim, Mefalsim, Re'im, Be'eri, an Israeli military post and a nature reserve near Nir Am.",0,2018-Q2
2018-05-20,2018,Protests,Peaceful protest,Protesters (Palestine),,Israel,HaZafon,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Gilboa Prison in the Galilee.,0,2018-Q2
2018-06-04,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,Fires sparked by flaming kites from Gaza broke out near Beeri and Reim on June 4.,0,2018-Q2
2019-07-31,2019,Strategic developments,Looting/property destruction,Settlers (Israel),Civilians (Israel),Israel,Haifa,"Property destruction: on 31 July 2019, Israeli settlers slashed tires and sprayed racist graffiti on houses and cars in Jisr ez Zarqa village of Haifa district.",0,2019-Q3
2019-08-09,2019,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,"As reported on August 9 2019, a group of 150 people demonstrated outside PM Benjamin Netanyahu's home in Jerusalem, demanding that he returns the bodies of the prisoners of war which are held by Hamas since 2014.",0,2019-Q3
2019-08-23,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 23 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in the Eshkol Regional Council. No injuries were reported.",0,2019-Q3
2018-01-01,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,A projectile fired on Monday from theGazaStrip hit the Eshkol region of southernIsraelwithout causingcasualties.,0,2018-Q1
2018-05-22,2018,Riots,Violent demonstration,Rioters (Palestine),,Israel,HaDarom,A number of youths from Gaza set a military post on fire south of Kissufim on May 22. No casualties were reported.,0,2018-Q2
2019-10-11,2019,Strategic developments,Looting/property destruction,Unidentified Armed Group (Palestine),Civilians (Israel),Israel,Haifa,"Property destruction: On October 11 2019, dozens of tombstones at the Haifa cemetery for Commonwealth casualties of World War I were vandalised. 50 graves were sprayed painted with swastikas, and 3 were destroyed completely.",0,2019-Q4
2019-02-12,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary balloons launched from Gaza on Feb 12 2019, sparked fires in Karmiyya.",0,2019-Q1
2019-02-12,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary balloons launched from Gaza on Feb 12 2019, sparked fires in Yad Mordekhay.",0,2019-Q1
2019-07-16,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 16 July 2019, an incendiary balloon fired by an unidentified armed group started a forest fire in Shoqeda.",0,2019-Q3
2019-07-25,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 25 July 2019, an incendiary balloon fired by an unidentified armed group started a fire in Eshkol of Ashdud district.",0,2019-Q3
2019-08-11,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 11 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in Yakhini. No injuries were reported.",0,2019-Q3
2019-08-15,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 15 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in Kefar Azza. No injuries were reported.",0,2019-Q3
2019-08-17,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 17 August 2019, 3 missiles fired by an unidentified armed group were intercepted by Iron Dome, while one of the missiles hit a courtyard of a house in Sderot. No casualties reported by source.",0,2019-Q3
2019-09-10,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 10 September 2019, a fire was started when an unidentified armed group fired an incendiary balloon at Kissufim. No casualties reported by source.",0,2019-Q3
2019-07-30,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 30 July 2019, an incendiary balloon was fired from Gaza at Alumim of Ashqelon district. No casualties reported by source.",0,2019-Q3
2019-07-30,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 30 July 2019, an incendiary balloon was fired from Gaza at Kissufim of Beer Sheva district. No casualties reported by source.",0,2019-Q3
2018-06-15,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,A fire started by an incendiary kite launched from Gaza was reported in Reim on June 15.,0,2018-Q2
2018-02-07,2018,Protests,Peaceful protest,Protesters (International),,Israel,Tel Aviv,"Protesters, mostly from Eritrea and Sudan, gathered outside the Rwandan Embassy in Herzliya to protest against government plans to deport them from the country.",0,2018-Q1
2018-03-24,2018,Riots,Violent demonstration,Rioters (Palestine),,Israel,HaDarom,Four Palestinians breached the border fence with Israel and tried to set fire to Israeli military construction equipment on Saturday.,0,2018-Q1
2019-02-20,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,Two fires broke out in the forest of Kissufim town on Feb 20 2019. The fires are thought to have been set by incendiary balloons fired from the Gaza Strip.,0,2019-Q1
2019-07-27,2019,Strategic developments,Looting/property destruction,Settlers (Israel),Civilians (Israel),Israel,HaMerkaz,"Property destruction: on 27 July 2019, a group of settlers punctured tires and sprayed racist graffiti on houses, in Kafr Qaseem city.",0,2019-Q3
2018-02-03,2018,Protests,Peaceful protest,Protesters (Palestine),,Israel,HaMerkaz,"Dozens of people have staged a protest against the detention of Ahed Tamimi, a 16-year-old Palestinian activist, who has become the face of resistance by Palestinian youths against the Israeli occupation of their land. The protesters gathered on Saturday outside Hasharon Prison, where Tamimi is being kept.",0,2018-Q1
2018-04-09,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,On April 9th African migrants and Israelis demonstrated in Tel Aviv against the planned deportations of African refugees and asylum seekers.,0,2018-Q2
2019-07-19,2019,Strategic developments,Looting/property destruction,Unidentified Armed Group (Israel),Civilians (Israel),Israel,HaZafon,"Property destruction: On July 19 2019, Israeli ultra-nationalists spray-painted racist anti-Arab and anti-Palestinian graffiti on Palestinian walls and slashed tires of Palestinian-owned cars in the Israeli town of Jish.",0,2019-Q3
2019-10-31,2019,Strategic developments,Looting/property destruction,Unidentified Armed Group (Israel),Civilians (Israel),Israel,HaZafon,"Property destruction: On October 31 2019, two Israelis slashed the tyres of vehicles in the city of Safed and spray painted hateful graffiti in an Arab neighbourhood of the city.",0,2019-Q4
2019-11-28,2019,Strategic developments,Looting/property destruction,Unidentified Armed Group (Israel),Civilians (Israel),Israel,HaMerkaz,"Property destruction: On November 28 2019, overnight, 40 tyres were slashed and racist graffiti was sprayed in the Arab Israeli town of Jaljuliya.",0,2019-Q4
2019-12-17,2019,Violence against civilians,Attack,Unidentified Armed Group (Israel),Civilians (Israel),Israel,Tel Aviv,"As reported on December 17 2019, an Israeli man was stabbed in Bat Yam by an unidentified man who shouted a derogatory slogan against Jews during the attack.",0,2019-Q4
2020-02-02,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 2 February 2020, an IED balloon that was launched from Gaza, landed in Eshkol regional council. No casualties reported by source.",0,2020-Q1
2018-05-16,2018,Strategic developments,Looting/property destruction,Unidentified Armed Group (Palestine),Civilians (Israel),Israel,HaDarom,"Property destruction: On May 16 2018, bullets from heavy fire in Gaza hit 6 houses in the Israeli town of Sderot, which caused damage but no injuries.",0,2018-Q2
2018-12-02,2018,Strategic developments,Looting/property destruction,Unidentified Armed Group (Israel),Civilians (Israel),Israel,HaMerkaz,"Property destruction: On Dec 2 2018, Israeli ultra-Orthodox members spray-painted racist anti-Arab and anti-Palestinian graffiti on Palestinian walls and slashed tires of thirty Palestinian-owned cars in the Israeli town of Kafr Qassem.",0,2018-Q4
2019-08-20,2019,Protests,Peaceful protest,Protesters (Israel),,Israel,HaMerkaz,"On 20 August 2019, residents of the town of Lod demonstrated against the noise pollution caused by air planes flying over the city in the morning, at the entrance to the Ben Gurion International Airport in Tel Aviv.",0,2019-Q3
2018-12-04,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,HaMerkaz,"On 4 December 2018, thousands of Israeli women protested against domestic violence as a general strike was held following the murder of two teenage girls last week. 24 women and girls have been murdered this year in Israel. Flight delays were reported at Ben Gurion airport after the entrance was temporary blocked by demonstrators.",0,2018-Q4
2020-05-30,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 30 May 2020, a protest was held, in the unrecognized Bedouin village of Khirbet Al Watan, against the government's plane to confiscate about 7500 acres of land from them. .",0,2020-Q2
2020-06-17,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 17 June 2020, a protest was held by Bedouins, in Rachma village of Beersheba, the protest was against the decision to relocate the village claiming it is illegal.",0,2020-Q2
2020-06-15,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 15 June 2020, an unidentified group fired a rocket from Gaza at Magan, the rocked landed in an open space and no injuries or damage was reported.",0,2020-Q2
2020-06-26,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 26 June 2020, a rocket fired from Gaza by an unknown group, exploded in Magen, no damage or injuries was done by the explosion.",0,2020-Q2
2020-07-19,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 19 July 2020, social workers protested in Beersheba city, against their poor working conditions and demanded an increase in pay.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,Haifa,"On 11 July 2020, a protest was held in Maagan Mikhael, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Kefar Menahem, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Sappir, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Beersheba City, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Magen, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Tzukim, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Paran, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Hazeva, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in En Yahav, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Yotvata, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
