titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
"Targeting of high-profile government, aviation, energy, telecoms and banking-sector entities in the Middle East and North Africa",Espionage,Iran (Islamic Republic of),"Armenia, Azerbaijan, Bahrain, Canada, Egypt, Israel, Jordan, Kuwait, Malaysia, Saudi Arabia, Syrian Arab Republic, Turkey, United Arab Emirates",vittima,,da_estrarre_con_llm,"MuddyWater ran a phishing campaign that likely began in July 2021 against high-profile government, aviation, banking-sector, energy, and telecommunications entities in the Middle East and North Africa.",https://www.cfr.org/cyber-operations/targeting-of-high-profile-government-aviation-energy-telecoms-and-banking-sector-entities-in-the-middle-east-and-north-africa
"Targeting of the Technion, the Israeli Institute of Technology",Financial Theft,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Iranian threat actor MuddyWater launched a ransomware attack against the Technion in February 2023, forcing the school to delay its final exams by several days.",https://www.cfr.org/cyber-operations/targeting-of-the-technion-the-israeli-institute-of-technology
APT 42,Espionage,Iran (Islamic Republic of),"Australia, Bulgaria, Iran (Islamic Republic of), Israel, Italy, Malaysia, Norway, Qatar, United Kingdom, United States",vittima,,da_estrarre_con_llm,"APT 42 has a wide variety of targets and typically aims to access the networks of organizations and individuals who oppose the Iranian regime. Some overlap also exists between APT 42 and an Iranian-sponsored ransomware actor, UNC2448.",https://www.cfr.org/cyber-operations/apt-42
Targeting of Israeli organizations using SysAid,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"MuddyWater discovered a new way to utilize the Log4Shell vulnerability in attacks. The group used the Log4Shell bug in SysAid software, a commonly used IT management and help-desk tool, to access the networks of Israeli organizations.",https://www.cfr.org/cyber-operations/targeting-of-israeli-organizations-using-sysaid
Targeting of Israeli officials,Espionage,"Palestine, State of",Israel,vittima,,da_estrarre_con_llm,"Hamas-linked actor APT-C-23 targeted Israelis with an espionage campaign to exfiltrate sensitive information from individuals working in law enforcement, the military, and emergency services. The attackers used fabricated Facebook profiles to lure targets to install trojanized direct message applications.",https://www.cfr.org/cyber-operations/targeting-of-israeli-officials
Targeting of local Israeli officials,Espionage,Israel,Israel,entrambi,,da_estrarre_con_llm,"The signals intelligence unit of the Israeli police is suspected of using Pegasus spyware to surveil local officials and their families in Israel. The warrantless surveillance conducted with Pegasus was used to inform later prosecutions for bribery, some of which were dismissed in court for lack of evidence. The police attempted to cover up evidence […]",https://www.cfr.org/cyber-operations/targeting-of-local-israeli-officials
Targeting of Israeli activist,Espionage,Israel,Israel,entrambi,,da_estrarre_con_llm,The Israeli government used the NSO Group’s spyware tool Pegasus to spy on an Israeli activist. The authorities allegedly catalogued his activity on a dating site for use as future leverage.,https://www.cfr.org/cyber-operations/targeting-of-israeli-activist
Targeting of Israeli companies and government agencies,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,An Iranian-linked threat actor was detected exploiting a new vulnerability in the open-source Log4j software to attack at least seven Israeli companies and government agencies.,https://www.cfr.org/cyber-operations/targeting-of-israeli-companies-and-government-agencies
Targeting of telecommunication companies in Asia and the Middle East,Espionage,Iran (Islamic Republic of),"Israel, Jordan, Kuwait, Lao People's Democratic Republic, Pakistan, Saudi Arabia, Thailand, United Arab Emirates",vittima,,da_estrarre_con_llm,"Iran launched an espionage campaign directed against telecommunication companies throughout Asia and the Middle East. The attacks could have been aimed at inserting malware into the supply chain, although the exact purpose is unclear.",https://www.cfr.org/cyber-operations/targeting-of-telecommunication-companies-in-asia-and-the-middle-east
Targeting of Israeli software supply chain,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"An Iranian threat actor is believed to be responsible for using fake job offers to gain access to the email systems of major Israeli software companies. After gaining access to a system, the threat actor would install a backdoor to gain further information from the company’s system or to launch phishing attacks.",https://www.cfr.org/cyber-operations/targeting-of-israeli-software-supply-chain
