event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-01-20,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Hamadan,Some workers of Kian Cord company gathered in front of the company to protest their unpaid salaries,0,2018-Q1
2019-07-04,2019,Strategic developments,Other,Unidentified Armed Group (Iran),Civilians (Iran),Iran,Golestan,"Explosive remnants of war: On 4/7/2019, two civilians were killed and one injured by two mortar shells in Gonbad e Kavus. The mortar shells were remnants of an armed conflict, Gonbad War, in the region that took place in the immediate aftermath of the 1979 revolution.",2,2019-Q3
2019-07-05,2019,Strategic developments,Disrupted weapons use,Police Forces of Iran (1989-),Unidentified Armed Group (Iran),Iran,Sistan and Baluchestan,"Defusal: On 5/7/2019, police defused an IED, made of a pressure-cooker pot filled with TNT and metal shrapnel, which was placed by an unidentified armed group in a residential neighbourhood in Zahedan.",0,2019-Q3
2019-07-27,2019,Strategic developments,Other,Unidentified Military Forces,Civilians (Iran),Iran,Khuzestan,"Explosive remnants of war: On 27/7/2019, a civilian was injured by a landmine, laid during the Iran-Iraq War in the 1980s, in Ahvaz.",0,2019-Q3
2019-07-31,2019,Strategic developments,Other,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,Civilians (Iraq),Iran,Hormozgan,"Non-violent activity: On 31/7/2019, the IRGC seized a small Iraqi oil tanker in the Persian Gulf for allegedly smuggling fuel.",0,2019-Q3
2019-08-05,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,"0n 5/8/2019, a group of teachers held a protest in Tabriz, demanding higher salaries. The protest was organized by Coordinating Council of Teachers Syndicates in Iran.",0,2019-Q3
2019-08-15,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Razavi Khorasan,"15 August. About 200 students and clerics, including 20 clerical students from India and Pakistan, held a protest in Mashhad to express their support for people in Kashmir.",0,2019-Q3
2019-08-17,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Lorestan,17 August. People in Temeliyeh protested against the halt in the watershed management in their village.,0,2019-Q3
2019-08-18,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,18 August. Laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr.,0,2019-Q3
2019-08-23,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,23 August. A protest was held in Khorramshahr against the increase in toll road charges.,0,2019-Q3
2019-08-24,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,24 August. About 80 municipality workers in Sisakht protested against several months of unpaid salaries.,0,2019-Q3
2019-08-24,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,24 August. Workers of HEPCO manufacturing company in Arak protested against job insecurity and unpaid salaries.,0,2019-Q3
2019-08-24,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Fars,24 August. Workers at the Ghand Sugar Company in Fasa protested against several months of unpaid salaries.,0,2019-Q3
2019-08-25,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,25 August. About 80 municipality workers in Sisakht protested against several months of unpaid salaries.,0,2019-Q3
2019-08-25,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,"25 August. Workers of HEPCO manufacturing company protested outside in Arak against several months of unpaid salaries, and demanded the reopening of the factory.",0,2019-Q3
2019-08-25,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Yazd,"25 August. A group of citizens from Rezvanshahr held a protest outside the headquarters of the governor of Yazd province in Yazd, demanding the establishment of a Town Hall in Rezvanshahr.",0,2019-Q3
2019-08-26,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,26 August. About 80 municipality workers in Sisakht protested against several months of unpaid salaries.,0,2019-Q3
2019-08-26,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,"26 August. Workers of HEPCO manufacturing company protested outside in Arak against several months of unpaid salaries, and demanded the reopening of the factory.",0,2019-Q3
2019-08-27,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,27 August. About 80 municipality workers in Sisakht protested against several months of unpaid salaries.,0,2019-Q3
