event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Tyumen,"On 01 May 2018, more than 4000 persons participated in May Day rallies in Tyumen",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 5 May 2018, 15 people took part in a sanctioned rally in Apatity as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnodar,"On 5 May 2018, people took part in an unsanctioned rally in Armavir as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Saratov,"On 5 May 2018, 30 people took part in a sanctioned rally in Balakovo as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). Members of the non-profit organisation of Veterans 'Combat Brotherhood' joined the rally with counter slogans supporting Vladimir Putin.",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Bryansk,"On 5 May 2018, 100 people took part in a sanctioned rally in Bryansk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 5 May 2018, 40 people took part in a sanctioned rally in Dubna as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Udmurt Republic,"On 5 May 2018, 200-500 people took part in a sanctioned rally in Izhevsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 5 May 2018, some people took part in an unsanctioned rally in Kandalaksha as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kirov,"On 5 May 2018, 300 people took part in a sanctioned rally in Kirov as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kostroma,"On 5 May 2018, 150 people took part in an unsanctioned rally in Kostroma as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Lipetsk,"On 5 May 2018, 150 people took part in a sanctioned rally in Lipetsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Chelyabinsk,"On 5 May 2018, 200 people took part in an unsanctioned rally in Magnitogorsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 5 May 2018, 12 people took part in a sanctioned rally in Monchegorsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Nizhny Novgorod,"On 5 May 2018, 500 people took part in a rally in Nizhny Novgorod as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). 1 person was detained by the police forces of Russia.",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnoyarsk,"On 5 May 2018, some people took part in an unsanctioned rally in Norilsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kaluga,"On 5 May 2018, 8-10 people took part in a sanctioned rally in Obninsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 5 May 2018, some people took part in an unsanctioned rally in Olenegorsk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 5 May 2018, 4-10 people took part in a sanctioned rally in Polyarnyye Zori as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Ryazan,"On 5 May 2018, 300 people took part in an unsanctioned rally in Ryazan as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Mordovia,"On 5 May 2018, 65-100 people took part in a sanctioned rally in Saransk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Saratov,"On 5 May 2018, 500 people took part in an unsanctioned rally in Saratov as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). The police forces did not intervene during the protest but it must be noted that a 12 years old child was detained after the completion of the action.",0,2018-Q2
2018-05-05,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Smolensk,"On 5 May 2018, 150 people took part in a sanctioned rally in Smolensk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). 1 person was detained by the police forces of Russia.",0,2018-Q2
2018-05-05,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Krasnodar,"On 5 May 2018, people took part in a rally in Sochi as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). 5 persons were detained by the police forces of Russia.",0,2018-Q2
