event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2021-05-06,2021,Strategic developments,Change to group/activity,Military Forces of the United States (2021-) Marine Corps,,Saudi Arabia,Ar Riyadh,"Movement of forces: Around 6 May 2021 (week of), F/A-18D Hornet fighter jets and squadron personnel from the Marine All Weather Fighter Attack Squadron 224 (Marine Aircraft Group 31) deployed to Prince Sultan Air Base (Al Kharj, Ar Riyadh) as part of a dynamic force employment to 'enhance USCENTCOM's ability to deter aggression and promote security and stability within the USCENTCOM area of responsibility'.",0,2021-Q2
2021-03-25,2021,Violence against civilians,Attack,Military Forces of Saudi Arabia (2015-),Civilians (Yemen),Saudi Arabia,Jizan,"Around 25 March 2021, Saudi forces interrogated and tortured 11 Yemeni fishers on Farasan island (Jizan) for 9 days after they were taken in international waters in the South Red Sea. The fishers were then imprisoned in Jizan, and released and returned to Yemen on 5 May 2021.",0,2021-Q1
2018-09-26,2018,Battles,Armed clash,Military Forces of Saudi Arabia (2015-),Shiite Muslim Militia (Saudi Arabia),Saudi Arabia,Eastern,"The Saudi army killed three Shiite militants and anti-regime activists, Mohamed Hassan Ahmed al-Zayed, Moufeed Hamza Ali al-Alwan and Khalil Ibrahim Hassan al-Muslim, in a shootout following a raid to arrest them in al-Kuwaikeb district in the center of Qatif. Three soldiers were injured as well. The raid came shortly after another operation in Qatif during which at least seven people were injured.",3,2018-Q3
2021-09-13,2021,Violence against civilians,Attack,Police Forces of Saudi Arabia (2015-),Civilians (Yemen),Saudi Arabia,Jizan,"On 13 September 2021, Saudi security forces tortured and killed a Yemeni businessman in Jizan province. According to the source, the businessman was arrested a week ago and was tortured to death by Saudi forces that suspected that he was supplying the Houthis with information.",1,2021-Q3
2021-11-02,2021,Violence against civilians,Attack,Police Forces of Saudi Arabia (2015-) Prison Guards,Civilians (Saudi Arabia),Saudi Arabia,Mecca,"Around 2 November 2021 (as reported), prison guards beat and tortured political prisoner Saud Mukhtar al Hashimi in Dhahban Central Prison (Jiddah, Mecca). The guards also deprived him of medicine.",0,2021-Q4
2020-03-07,2020,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-),Civilians (Yemen),Saudi Arabia,Ar Riyadh,"On 7 March 2020, Saudi police forces on the command of Muhammad bin Salman reportedly arrested former crown prince Muhammad bin Nayef, Ahmad bin Abdel Aziz, Nawad bin Nayef and several police, national guard and royal guard officers who considered themselves to be loyal to the arrested.",0,2020-Q1
2020-11-21,2020,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-),Civilians (China),Saudi Arabia,Mecca,"Arrests: On 21 November 2020, Saudi police arrested a Uyghur religious scholar who has been legally residing in Turkey but travelling in Saudi Arabia, reportedly at the behest of the Chinese government, fearing deportation. He was arrested with another helper, also a Uyghur man, near the Kaaba in Makkah (Makkah, Makkah) and brought to Buraiman prison in Jeddah city. The scholar had been arrested in China twice, in 2013 and 2014.",0,2020-Q4
2019-10-10,2019,Strategic developments,Change to group/activity,Military Forces of the United States (2017-2021),,Saudi Arabia,Ar Riyadh,"Since last month, the US has reportedly added more than 3000 US soldiers to their contingent on Saudi soil consisting of two fighter squadrons, one air expeditionary wing, two patriot batteries, and a THAAD system.",0,2019-Q4
2020-09-01,2020,Protests,Peaceful protest,Protesters (Saudi Arabia),,Saudi Arabia,Al Madinah,"On 1 September 2020, tribal members of the Juhayna tribal group protested in Al Aiss (Al Madinah) and surrounding villages against destruction of their homes and farms by the Saudi government.",0,2020-Q3
2020-12-04,2020,Strategic developments,Change to group/activity,Military Forces of the United States (2017-2021),,Saudi Arabia,Ar Riyadh,"Movement of forces: Around 4 December 2020 (as reported), US forces deployed a THAAD missile system next to the Prince Sultan airbase in Al Kharj (Al Kharj, Ar Riyad), pointing towards northeast. It includes 6 THAAD anti ballistic missile launchers and two Patriot launcher and is supported by the AN/TPY-2 Radar. The system covers Riyadh, some airbases and Khurays oil fields.",0,2020-Q4
2020-09-01,2020,Protests,Peaceful protest,Protesters (Saudi Arabia),,Saudi Arabia,Tabuk,"On 1 September 2020, tribal members of the Juhayna tribal group protested in Shabha (Umluj, Tabuk) and surrounding villages against destruction of their homes and farms by the Saudi government.",0,2020-Q3
2020-04-15,2020,Violence against civilians,Attack,Police Forces of Saudi Arabia (2015-) Prison Guards,Civilians (International),Saudi Arabia,Mecca,"Around 15 April 2020 (month of), tens of thousands of African migrants in Saudi Arabia, many of whom are Ethiopian, have reportedly been held in detention centres with squalid conditions in southern Saudi Arabia and are regularly beaten by Saudi Prison Guards. The locations of two camps were reported in Al Shumaisi (Makkah, Makkah) and Jizan (Jazan, Jizan). It is unclear how many other camps may be in operation. Additionally, a number of detainees have reportedly committed suicide in the camps while others have reportedly died from disease and heatstroke. Unclear fatalities coded as 10 and split between two locations.",5,2020-Q2
2020-04-15,2020,Violence against civilians,Attack,Police Forces of Saudi Arabia (2015-) Prison Guards,Civilians (International),Saudi Arabia,Jizan,"Around 15 April 2020 (month of), tens of thousands of African migrants in Saudi Arabia, many of whom are Ethiopian, have reportedly been held in detention centres with squalid conditions in southern Saudi Arabia and are regularly beaten by Saudi Prison Guards. The locations of two camps were reported in Al Shumaisi (Makkah, Makkah) and Jizan (Jazan, Jizan). It is unclear how many other camps may be in operation. Additionally, a number of detainees have reportedly committed suicide in the camps while others have reportedly died from disease and heatstroke. Unclear fatalities coded as 10 and split between two locations.",5,2020-Q2
2018-11-15,2018,Violence against civilians,Attack,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Mecca,"In November 2018, according to Amensty and HRW, several well-known imprisoned Saudi political activists, the majority of them women, were repeatedly tortured by Saudi authorities in Dahban central prison. One of the women was reportedly subjected to sexual harassment.",0,2018-Q4
2020-09-23,2020,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-) Presidency of State Security,Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Ar Riyadh,"On 23 September 2020, the Presidency of State Security reportedly arrested 10 members of an unidentified armed group, who the PSS reported were trained at IRGC camps in Iran, from two undisclosed locations. A number of weapons and explosive devices were recovered in the operation.",0,2020-Q3
2021-12-30,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (International),Civilians (France),Saudi Arabia,Mecca,"On 30 December 2021, an explosion of unidentified origin targeted the vehicle of a French team of the Dakar rally in Jeddah city (Jiddah, Mecca) injuring the driver. Saudi authorities denied any criminal suspicions around the incident but France opened a 'terrorism investigation'. In February 2022, French investigators concluded that the explosion was caused by an IED.",0,2021-Q4
2022-03-12,2022,Strategic developments,Other,Government of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"Other: On 12 March 2022, Saudi authorities executed 81 individuals for various charges including 'allegiance to foreign terrorist organizations' and holding 'deviant beliefs' (coded to capital city Riyadh). The individuals included 41 Shiite Muslims from the Qatif region as well as 7 Yemenis and 1 Syrian. The legitimacy of the due process of the trial was questioned by a number of NGOs.",81,2022-Q1
2018-03-12,2018,Violence against civilians,Abduction/forced disappearance,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"On 12 March 2018, police forces abducted a Saudi national working for the Saudi Red Crescent Society from his office in Riyadh (Ar Riyadh). He was brought to the police station but never heard of again. His relatives believe that his forced disappearance may have been prompted by his online activity including social media posts that were often critical of the regime.",0,2018-Q1
2019-04-23,2019,Strategic developments,Other,Government of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"Other: On 23 April 2019, Saudi authorities executed 37 individuals for various charges including protest-related offenses, espionage, and terrorism (coded to capital city Riyadh). At least 33 out of the 37 executed were Shiites. The legitimacy of the due process of the trial was questioned by NGOs.",37,2019-Q2
2022-04-28,2022,Protests,Protest with intervention,Protesters (Pakistan),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Al Madinah,"On 28 April 2022, Pakistani pilgrims chanted political slogans against the Pakistani PM and other officials during their visit at Al Masjid an Nabawi (the Prophet's Mosque) in Medina (Madinah Monawrah, Al Madinah). Saudi police forces arrested around 150 Pakistanis for 'violating the regulations' and 'disrespecting' the sanctity of the mosque.",0,2022-Q2
2019-10-23,2019,Riots,Violent demonstration,Rioters (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Eastern,"On 23 October 2019, a mass brawl took place in Hafar al Batin. Security patrols shot on the rioters without any reported fatalities or injuries. Not anymore info.",0,2019-Q4
2019-07-01,2019,Protests,Peaceful protest,Protesters (Sudan),,Saudi Arabia,Ar Riyadh,"On 1 July 2019, Sudanese migrant workers protested in front of the Sudanese embassy in Riyadh to show their support with the protest movement in Sudan.",0,2019-Q3
2022-05-14,2022,Strategic developments,Other,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Eastern,"Other: On 14 May 2022, Saudi authorities executed two Shiite political prisoners from Al Qatif (Eastern) on charges of involvement in 'terrorist activities'.",2,2022-Q2
2022-06-08,2022,Violence against civilians,Attack,Military Forces of Saudi Arabia (2015-) Border Guard,Civilians (Yemen),Saudi Arabia,Jizan,"On 8 June 2022, Saudi border guard fired at a civilian vehicle in Jizan city (Jizan) killing 4 Yemeni nationals. The Yemeni civilians were immigrants that lived in Saudi Arabia and were going back to Saudi Arabia from Yemen after Eid.",4,2022-Q2
2019-05-14,2019,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,Saudi Arabia,Ar Riyadh,"On 14 May 2019, unidentified military forces launched seven Delta-wing UAVs targeting two oil-pumping stations of the East-West Saudi pipeline, which goes from the eastern Saudi oil fields to the oil terminal of Yanbu on the western coast, in Ad Dawadimi and Afif (Ar Riyadh). There were no fatalities or injuries but a large fire erupted at pumping station no.8 prompting a temporary closure of the station. Houthi forces claimed the attack but later US assessments stated that the attack originated from Iraqi territory.",0,2019-Q2
2019-05-14,2019,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,Saudi Arabia,Ar Riyadh,"On 14 May 2019, unidentified military forces launched seven Delta-wing UAVs targeting two oil-pumping stations of the East-West Saudi pipeline, which goes from the eastern Saudi oil fields to the oil terminal of Yanbu on the western coast, in Ad Dawadimi and Afif (Ar Riyadh). There were no fatalities or injuries but a large fire erupted at pumping station no.8 prompting a temporary closure of the station. Houthi forces claimed the attack but later US assessments stated that the attack originated from Iraqi territory.",0,2019-Q2
