event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2022-10-14,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Portuguesa,"On 14 October 2022, in Acarigua (Portuguesa), retirees and pensioners demonstrated to demand the reopening of the local soup kitchen.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Portuguesa,"On 12 October 2022, in Araure (Portuguesa), corn farmers demonstrated to demand the government to unveil the state-fixed price for this year's yields.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"On 10 October 2022, in La Morita (Lara), residents protested to demand the repairing of the local school after a storm destroyed part of it.",0,2022-Q4
2022-10-14,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Miranda,"On 14 October 2022, in Ocumare del Tuy (Miranda), relatives of a prisoner with autism protested to demand his liberation based on procedural arguments. The protest took place outside the local courthouse.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"On 10 October 2022, in Barquisimeto (Lara), residents of sectors to the east of the city protested to decry the water shortages and lack of sanitation they were suffering, in Moran avenue.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Carabobo,"On 11 October 2022, in Valencia (Carabobo), workers of the Milk Industry Corporation of Carabobo (Inlaca) protested to demand payment of owed stipends and to demand reinstatement in the company of those workers that were laid off due to the coronavirus pandemic and have not yet been readmitted.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Miranda,"On 11 October 2022, in Caracas - Sucre (Miranda), residents of the San Blas neighborhood in Petare parish protested by banging pots and pans against the continuous power outages they were suffering.",0,2022-Q4
2022-10-14,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,La Guaira,"On 14 October 2022, in La Guaira (La Guaira), teachers and school parents' associations protested to decry the poor state of educational facilities in the region.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Barinas,"On 11 October 2022, in Barinas state (coded to Barinas), protesters demonstrated with demands on issues related to labor and basic services.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Barinas,"On 10 October 2022, in Barinas state (coded to Barinas), protesters demonstrated with demands on issues related to labor, education, basic services and sports.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"On 11 October 2022, in Lara state (coded to Barquisimeto), protesters demonstrated with demands on issues related to labor and basic services.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 12 October 2022, in Bolivar state (coded to Ciudad Bolivar), protesters demonstrated with demands on issues related to labor, housing, petrol, justice, life, and the environment.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Yaracuy,"On 12 October 2022, in Yaracuy state (coded to San Felipe), protesters demonstrated with demands on issues related to labor, housing, petrol, justice, life, and the environment.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Yaracuy,"On 10 October 2022, in Yaracuy state (coded to San Felipe), protesters demonstrated with demands on issues related to labor, education, basic services and sports.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Delta Amacuro,"On 12 October 2022, in Tucupita (Delta Amacuro), teachers demonstrated to demand fair salaries.",0,2022-Q4
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"On 13 October 2022, in Carora (Lara), residents protested to decry the water outages they were suffering.",0,2022-Q4
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Miranda,"On 13 October 2022, in Miranda state (coded to Los Teques), protesters demonstrated with demands on issues related to labor, education, basic services, justice and petrol.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Cojedes,"On 10 October 2022, in Cojedes state (coded to San Carlos), protesters demonstrated with demands on issues related to labor, education, basic services and sports.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Delta Amacuro,"On 11 October 2022, in Delta Amacuro state (coded to Tucupita), protesters demonstrated with demands on issues related to labor and basic services.",0,2022-Q4
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,La Guaira,"On 13 October 2022, in La Guaira state (coded to La Guaira), protesters demonstrated with demands on issues related to labor, education, basic services, justice and petrol.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Merida,"On 10 October 2022, in Merida state (coded to Merida), protesters demonstrated with demands on issues related to labor, education, basic services and sports.",0,2022-Q4
2022-10-13,2022,Violence against civilians,Attack,Police Forces of Venezuela (1999-),Civilians (Venezuela),Venezuela,Anzoategui,"On 13 October 2022, in El Tigre (Anzoategui), four municipal police officers beat a man at the Los Yopales police station. The four policemen were later arrested. There were no casualties.",0,2022-Q4
2022-10-17,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Nueva Esparta,"On 17 October 2022, in Punta de Piedras (Nueva Esparta), a group of fishers protested against the rise of petrol prices which are no longer subsidized, directly impacting their livelihoods. The protest took place in Punta de Piedras dock.",0,2022-Q4
2022-10-18,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 18 October 2022, in Ciudad Guayana (Bolivar), a group of oil sector workers and PDVSA retirees protested to demand payment of owed stipends. The demonstration took place outside the CVP Unare building, in Puerto Ordaz.",0,2022-Q4
2022-10-18,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Distrito Capital,"On 18 October 2022, in Caracas - Libertador (Distrito Capital), retired PDVSA workers protested to demand payment of their pensions and benefits, as well as the reactivation of their medical insurance plans. The protest took place in Libertador avenue and outside the PDVSA headquarters.",0,2022-Q4
2022-10-18,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Portuguesa,"On 18 October 2022, in Guanare (Portuguesa), teachers and retirees of the regional government body protested to demand payment of owed stipends. The protest took place outside the seat of the Portuguesa state government.",0,2022-Q4
2022-10-19,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 19 October 2022, in Ciudad Guayana (Bolivar), workers of different sectors protested to demand the reinstatement of their collective labor agreements, and in support of the retirees and pensioners from the Venezuelan state aluminum company (VENALUM). There is an ongoing litigation between company and workers regarding unpaid benefits and salaries. The demonstration took place around the Venezuelan Corporation of Guayana (CVG) headquarters.",0,2022-Q4
2022-10-19,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Distrito Capital,"On 19 October 2022, in Caracas - Libertador (Distrito Capital), active and retired workers of the state-owned CANTV telecom company protested to demand observance of their collective labor agreement and medical insurance plans, and payment of owed stipends. The protest took place in Libertador avenue.",0,2022-Q4
