fonte,paese_iso3,periodo,nome_file,url_originale,data_download,note
acled,ISR,2018-2024,ISR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,KOR,2018-2024,KOR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,SAU,2018-2024,SAU_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,ITA,2018-2024,ITA_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,EST,2018-2024,EST_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
unhcr,RUS,2018-2024,RUS_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,RUS,2018-2024,RUS_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,CHN,2018-2024,CHN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,CHN,2018-2024,CHN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,PRK,2018-2024,PRK_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,PRK,2018-2024,PRK_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,IRN,2018-2024,IRN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,IRN,2018-2024,IRN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,UKR,2018-2024,UKR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,UKR,2018-2024,UKR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SDN,2018-2024,SDN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SDN,2018-2024,SDN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SSD,2018-2024,SSD_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SSD,2018-2024,SSD_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,YEM,2018-2024,YEM_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,YEM,2018-2024,YEM_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SYR,2018-2024,SYR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SYR,2018-2024,SYR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,ETH,2018-2024,ETH_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,ETH,2018-2024,ETH_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
