event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-07-16,2018,Strategic developments,Change to group/activity,Military Forces of Ethiopia (2018-),,Ethiopia,Addis Ababa,"Movement of forces: On or before 16th July, the government of Ethiopia instructed the army and federal police to protect civilians from the Liyu Police in the Oromo and Somali regions, redeploying them to parts of the border between the areas. The regional presidents were reported to have agreed to this move (Addis Ababa). Relatedly, meetings were held in Dire Dawa on or before the 19th July, to prevent further instability from Abdi Illey (the president of the Somali region, who controls the Liyu Police).",0,2018-Q3
2018-07-22,2018,Battles,Armed clash,Goba Communal Militia (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 21st and 22nd July, violence erupted between mainly Muslim residents of Goba city (Bale zone) and mainly Christian migrant residents of surrounding villages in the area over ownership of a park in Goba town. The violence was ostensibly related to the replacement of a statue in a park traditionally used by the Christians for Timket (Epiphany) celebrations with a statue of a local Muslim hero. Police failed to separate them. The federal army was later sent to prevent clashes from re-occurring. 11 people were reported killed during the weekend (some of whom died later as a result of their injuries), and over 100 injured.",11,2018-Q3
2018-08-06,2018,Strategic developments,Agreement,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Addis Ababa,"Agreement: On August 6th, the President of the Somali region - Abdi Illey - resigned, and was flown to Addis Ababa the following day, where he was placed in home custody of the federal army. Illey had been locked in a stand-off with the government over the controversial Liyu Police paramilitary force. Months of protests and violence also occurred in the Somali region against his leadership. On August 20, the Ethiopian Somali People's Democratic Party (the ruling party of the Somali region) elected Mustafe Muhumed Omar as the new regional governor of the Somali region, whilst three Executive and five Central Committee members resigned or were forced out of the party.",0,2018-Q3
2018-08-12,2018,Strategic developments,Change to group/activity,ONLF: Ogaden National Liberation Front,,Ethiopia,Addis Ababa,"Change to armed group: On August 12th, the Ogaden National Liberation Front announced a unilateral ceasefire, and its desire to enter peace talks with the Ethiopian government (Addis Ababa).",0,2018-Q3
2018-08-22,2018,Strategic developments,Arrests,Police Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Addis Ababa,"Arrests: On and before August 22nd, around 500 people were arrested in the Oromia region on suspicion of involvement in various illegal acts (including murder, land occupation, and arson) (Addis Ababa). At present, there is no information as to the ethnicity of those arrested.",0,2018-Q3
2018-09-01,2018,Strategic developments,Change to group/activity,AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,,Ethiopia,Tigray,"Movement of forces: 01 September. Thousands of PG7 fighters returned to Ethiopia through the Humera border after their military base in Eritrea was closed. A week later, TPDF fighters also began returning from Eritrea to Ethiopia (Humera). The moves follow recent peace and demobilisation and reintegration deals between various rebel groups and the government (including PG7, ADFM, ONLF and OLF).",0,2018-Q3
2018-09-17,2018,Battles,Armed clash,Oromo Ethnic Militia (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,17 September. At least one person was reportedly killed when Oromo youth attempted to attack local residents in Jemo but it was quashed as security forces intervened early.,1,2018-Q3
2018-09-17,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,"17 September. Residents of Addis Abeba held massive protests condemning the killing of innocent civilians in the outskirts of the capital (Nifas Silk-Lafto) by Oromo youths. Protests were held in various subcities of Addis: Addis Ketema, Gullele, Kolfe Keran (Piazza and Jemo),Yeka (Lege Tafo), Nifas Silk, Addis (Meskel square). Five people were killed as police dispersed the demonstrations with force and 600 arrested. Five fatalities spread over six VAC events.",0,2018-Q3
2018-09-17,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,"17 September. Residents of Addis Abeba held massive protests condemning the killing of innocent civilians in the outskirts of the capital by Oromo youths. Protests were held in various subcities of Addis: Addis Ketema, Gullele, Kolfe Keran (Piazza and Jemo),Yeka (Lege Tafo), Nifas Silk, Addis (Meskel square). Five people were killed as police dispersed the demonstrations with force and 600 arrested. Five fatalities spread over six VAC events.",1,2018-Q3
2018-09-17,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,"17 September. Residents of Addis Abeba held massive protests condemning the killing of innocent civilians in the outskirts of the capital by Oromo youths. Protests were held in various subcities of Addis: Addis Ketema, Gullele, Kolfe Keran (Piazza and Jemo),Yeka (Lege Tafo), Nifas Silk, Addis (Meskel square). Five people were killed as police dispersed the demonstrations with force and 600 arrested. Five fatalities spread over six VAC events.",1,2018-Q3
